seed,mode,success_rate,successes,num_eval,out_dir
0,global_ft,60.0,30,50,experiments/real_gauge_drift/results/tworoom_success_rate_global_ft_65ep_exp8_exp6_seed0
1,global_ft,62.0,31,50,experiments/real_gauge_drift/results/tworoom_success_rate_global_ft_65ep_exp8_exp6_seed1
2,global_ft,52.0,26,50,experiments/real_gauge_drift/results/tworoom_success_rate_global_ft_65ep_exp8_exp6_seed2
3,global_ft,52.0,26,50,experiments/real_gauge_drift/results/tworoom_success_rate_global_ft_65ep_exp8_exp6_seed3
4,global_ft,60.0,30,50,experiments/real_gauge_drift/results/tworoom_success_rate_global_ft_65ep_exp8_exp6_seed4
