seed,mode,success_rate,successes,num_eval,classify_ms_per_route_call,out_dir
0,latent_cluster3_mpc,60.0,30,50,1.198430779203772,experiments/real_gauge_drift/results/tworoom_success_rate_latent_spectral_spectral_M20000_k30_P16_seed0_trainseed42_mpc_evalseed0
1,latent_cluster3_mpc,72.0,36,50,1.161984779485842,experiments/real_gauge_drift/results/tworoom_success_rate_latent_spectral_spectral_M20000_k30_P16_seed0_trainseed42_mpc_evalseed1
2,latent_cluster3_mpc,62.0,31,50,1.1721915852947111,experiments/real_gauge_drift/results/tworoom_success_rate_latent_spectral_spectral_M20000_k30_P16_seed0_trainseed42_mpc_evalseed2
3,latent_cluster3_mpc,56.00000000000001,28,50,1.1593982042318376,experiments/real_gauge_drift/results/tworoom_success_rate_latent_spectral_spectral_M20000_k30_P16_seed0_trainseed42_mpc_evalseed3
4,latent_cluster3_mpc,56.00000000000001,28,50,1.1565697318533568,experiments/real_gauge_drift/results/tworoom_success_rate_latent_spectral_spectral_M20000_k30_P16_seed0_trainseed42_mpc_evalseed4
