split,frame_drift_mean,frame_drift_excess_vs_test_iid_mean,frame_drift_z_vs_test_iid_mean,frame_residual_ratio_mean,pca_drift_mean,pca_drift_excess_vs_test_iid_mean,pca_drift_z_vs_test_iid_mean,pca_residual_ratio_mean,frame_drift_std,frame_drift_excess_vs_test_iid_std,frame_drift_z_vs_test_iid_std,frame_residual_ratio_std,pca_drift_std,pca_drift_excess_vs_test_iid_std,pca_drift_z_vs_test_iid_std,pca_residual_ratio_std
test_all,0.19804320265069777,-0.1269296146807295,-4.824086712565382,0.9987836285827463,0.0597711991662633,-0.08344662374165185,-0.7950972423999353,0.9440074231224105,0.014795661562611053,0.010511713289525933,1.5398564188900765,0.0021616063013846555,0.07589122677708378,0.058449134906888106,0.4935140032938293,0.026615271850691888
common,1.2931917134679625,0.9682188961365351,36.7679158789646,0.8002816483675425,1.8372534397708329,1.6940356168629176,20.332191305325964,0.12568384956076298,0.006255109837436887,0.007736612803439087,10.482325350022075,0.002981151070569857,0.1334561132538819,0.1255201679888828,11.713124527809864,0.006106204159533359
doorway_corridor,1.3316892488917267,1.0067164315602994,38.206970762399784,0.7374435740154686,1.135047196743106,0.9918293738351908,13.85618144180183,0.10266855836621293,0.010153549113279085,0.009214589265077146,10.7318288381429,0.003526282331546535,0.624234970580216,0.6782400827340253,11.885998693929395,0.005197464418540606
goal_other_side,0.2576660875564257,-0.06730672977500156,-2.401768308783714,0.9978838873544944,0.06876001283468887,-0.07445781007322627,-0.6225080312689509,1.0190983502757949,0.03555895871011875,0.03890871205968565,1.3290887384677221,0.002937109103721384,0.05516720787714192,0.07126821306445118,0.8239269316298096,0.04069957092088703
left_room,0.6881589106597865,0.36318609332835927,13.845523519206528,1.078375462701923,0.1582734286170903,0.015055605709175158,0.5730459559396927,1.6134137331700669,0.015501111987146215,0.01780954181007648,4.098848377830881,0.007133365138660305,0.07650880035857759,0.11439499941061984,1.7642270897910672,0.09955344389967852
near_wall,0.6162480229728954,0.29127520564146814,11.197781941570804,1.0591915972978836,0.10731503115604864,-0.03590279175186651,0.022066698039838135,2.042579674617681,0.026440265670212924,0.029577775518409424,3.677112882133389,0.0035600371017154016,0.07095425522151137,0.10853438252944085,0.8793924303638592,0.10168986308215158
right_room,0.716640383762343,0.3916675664309157,14.929495431138355,1.0606118048525945,0.5638482049153524,0.4206303820074372,4.171884506703244,0.8843344033319587,0.017923619926897883,0.0197686682688895,4.71153697059022,0.004508700622759496,0.4800181033243654,0.43146149923128757,2.691956706018126,0.10143656852846471
