trial,reference_n,holdout_n,iid_rule_drift,iid_rule_diff_fro,iid_reference_jacobian_fro,iid_holdout_jacobian_fro
0,256,256,1.1198054552078247,0.3289990723133087,0.2938002049922943,0.4358093738555908
1,256,256,1.6496953964233398,0.5394772291183472,0.32701626420021057,0.7916900515556335
2,256,256,0.2018304020166397,0.09578658640384674,0.474589467048645,0.4404754340648651
3,256,256,1.2022874355316162,0.392973929643631,0.32685521245002747,0.5557255744934082
4,256,256,1.6006648540496826,0.35500839352607727,0.22178807854652405,0.4737265706062317
5,256,256,1.7702523469924927,0.5407232046127319,0.30544978380203247,0.7606020569801331
6,256,256,0.48677629232406616,0.2583828270435333,0.5308040380477905,0.31702083349227905
7,256,256,0.7500271797180176,0.54973965883255,0.7329596281051636,0.2943855822086334
8,256,256,0.7860720753669739,0.48760396242141724,0.6203044056892395,0.26303791999816895
9,256,256,0.6264029741287231,0.3859521746635437,0.6161403656005859,0.39086654782295227
10,256,256,0.876714825630188,0.6905264854431152,0.7876295447349548,0.34759819507598877
11,256,256,0.6122109889984131,0.3874576687812805,0.6328825950622559,0.5235772132873535
12,256,256,0.8232277631759644,0.3384566903114319,0.41113370656967163,0.6109879612922668
13,256,256,0.6768587827682495,0.3304702043533325,0.4882409870624542,0.3004375696182251
14,256,256,0.5738495588302612,0.2704522907733917,0.4712947607040405,0.6095383167266846
15,256,256,0.4900530278682709,0.24262960255146027,0.49510887265205383,0.4340534210205078
16,256,256,0.9777167439460754,0.6581157445907593,0.6731149554252625,0.1797831505537033
17,256,256,0.36198097467422485,0.22969220578670502,0.6345422267913818,0.4591251015663147
18,256,256,0.5869053602218628,0.44094833731651306,0.7513107657432556,0.44699081778526306
19,256,256,0.6711718440055847,0.31870365142822266,0.47484657168388367,0.6936900615692139
