split,n,one_step_mse,one_step_mse_std,rollout_h1_mse,rollout_h1_mse_std,rollout_h5_mse,rollout_h5_mse_std,rollout_h10_mse,rollout_h10_mse_std,jacobian_samples,rule_drift,rule_diff_fro,reference_jacobian_fro,mean_jacobian_fro,mean_within_jacobian_std,reference_within_jacobian_std,iid_bootstrap_mean,iid_bootstrap_std,rule_excess_vs_iid,rule_z_vs_iid
doorway_corridor,451,0.10239039361476898,0.07119762897491455,0.10239039361476898,0.07119762897491455,0.5653129816055298,0.4388977289199829,0.905854344367981,0.7148940563201904,256,0.40484288334846497,0.18440285325050354,0.45549237728118896,0.3514004945755005,0.0020035163033753633,0.0019303577719256282,0.8422252140939236,0.4298803275412407,-0.4373823307454586,-1.0174513759355055
goal_other_side,4095,0.08451919257640839,0.057419776916503906,0.08451919257640839,0.057419776916503906,0.5831519961357117,0.4345177412033081,1.206599473953247,0.6238698363304138,256,0.7972025871276855,0.3631196916103363,0.45549237728118896,0.6322728991508484,0.002468087477609515,0.0019303577719256282,0.8422252140939236,0.4298803275412407,-0.045022626966238044,-0.10473293165948389
iid_holdout,781,0.09667272865772247,0.08225911110639572,0.09667272865772247,0.08225911110639572,0.6908238530158997,0.4510729908943176,1.1838942766189575,0.6735560297966003,256,0.5760416388511658,0.2623825669288635,0.45549237728118896,0.3940790295600891,0.0021844792645424604,0.0019303577719256282,0.8422252140939236,0.4298803275412407,-0.2661835752427578,-0.6192038997565019
left_room,1532,0.08406971395015717,0.04707234352827072,0.08406971395015717,0.04707234352827072,0.5651692152023315,0.4390944838523865,1.232247233390808,0.6199801564216614,256,1.068469524383545,0.48667970299720764,0.45549237728118896,0.57667076587677,0.0029249200597405434,0.0019303577719256282,0.8422252140939236,0.4298803275412407,0.22624431028962133,0.526296031230669
near_wall,1399,0.07454802840948105,0.05079743638634682,0.07454802840948105,0.05079743638634682,0.4577115774154663,0.40372589230537415,1.1148983240127563,0.6148988008499146,256,0.7844951748847961,0.3573315739631653,0.45549237728118896,0.4938713014125824,0.0021460624411702156,0.0019303577719256282,0.8422252140939236,0.4298803275412407,-0.05773003920912745,-0.1342932800372327
reference,782,0.09472482651472092,0.06734509766101837,0.09472482651472092,0.06734509766101837,0.7159536480903625,0.4513323903083801,1.2080904245376587,0.6765360832214355,256,0.0,0.0,0.45549237728118896,0.45549237728118896,0.0019303577719256282,0.0019303577719256282,0.8422252140939236,0.4298803275412407,-0.8422252140939236,-1.9592085520851503
right_room,1511,0.07653791457414627,0.04201710224151611,0.07653791457414627,0.04201710224151611,0.5669670104980469,0.409896582365036,1.2664343118667603,0.5745226740837097,256,0.9739828109741211,0.4436417520046234,0.45549237728118896,0.2591201066970825,0.0017374763265252113,0.0019303577719256282,0.8422252140939236,0.4298803275412407,0.1317575968801975,0.3064983169467107
