model,cv_mean,cv_std,train_accuracy
latent_linear_svm,0.8659800000000001,0.002990250825599742,0.8664
latent_rbf_svm,0.86614,0.003151253718760201,0.86662
proprio_linear_svm,0.99914,0.00010198039027184446,0.99928
