task,seed,knn,is_nominal_knn,candidate_relative_gap,nominal_candidate_relative_gap,max_candidate_gap_perturbation,background_relative_gaps,background_gap_count,background_median,background_scaled_mad,background_threshold,eigenvalues_computed,eigenvalue_count_evidence
TwoRoom,0,27,False,0.5736046869748711,0.57504307156772672,0.0014383845928556127,"[0.0542520775049733,0.12306770579921908,0.22080898002421073,0.14976341686040995,0.1731724036097146,0.18299879328378738,0.025244667255574522,0.13668892302745564,0.14233685199228216,0.026455022216922145]",10,0.1395128875098689,0.05718790123502137,0.31107659121493303,14,SpectralGateConfig.required_eigenvalues passed as eigsh count; raw eigenvalues are not serialized by current manifest schema
TwoRoom,0,30,True,0.57504307156772672,0.57504307156772672,0.0014383845928556127,"[0.04978807924245484,0.1240364728692706,0.22225664995964725,0.1485748289174021,0.17476633660340482,0.1840166626745553,0.025264360882865086,0.1377572332045061,0.13808521127495682,0.03133966957748707]",10,0.13792122223973147,0.061483833272125962,0.32237272205610934,14,SpectralGateConfig.required_eigenvalues passed as eigsh count; raw eigenvalues are not serialized by current manifest schema
TwoRoom,0,33,False,0.57551491212951222,0.57504307156772672,0.0014383845928556127,"[0.04704954088979442,0.12387502248482402,0.2249141470306596,0.1476669296320684,0.17625871478792599,0.18425459756814674,0.026188930727981778,0.13687769807651398,0.13399448668954989,0.03771152357365538]",10,0.13543609238303195,0.066450967882473552,0.33478899603045259,14,SpectralGateConfig.required_eigenvalues passed as eigsh count; raw eigenvalues are not serialized by current manifest schema
TwoRoom,1,27,False,0.57398445388452746,0.5747149899340378,0.00073053604951034412,"[0.058153284951799285,0.12476561204172099,0.2183026179774599,0.16174312039492986,0.16476332082087455,0.18814768118322245,0.018463813649289434,0.12755378779597767,0.14677752305783703,0.04163881184564273]",10,0.13716565542690734,0.058251125049704283,0.31191903057602022,14,SpectralGateConfig.required_eigenvalues passed as eigsh count; raw eigenvalues are not serialized by current manifest schema
TwoRoom,1,30,True,0.5747149899340378,0.5747149899340378,0.00073053604951034412,"[0.053933487508751314,0.12572391947991268,0.21987973200446534,0.158820110636158,0.1668430292124451,0.18997721845511234,0.0168164972788137,0.13073978966234087,0.14058046020353535,0.0475598711275959]",10,0.13566012493293811,0.063381148370386275,0.32580357004409694,14,SpectralGateConfig.required_eigenvalues passed as eigsh count; raw eigenvalues are not serialized by current manifest schema
TwoRoom,1,33,False,0.5748216723411983,0.5747149899340378,0.00073053604951034412,"[0.05129499434526271,0.12533359406632175,0.22299132217918902,0.15774093831066402,0.16850997933917966,0.18906327725398697,0.01952954141868142,0.1286628122596521,0.13783887679069756,0.05299046363525374]",10,0.13325084452517483,0.067511353019490225,0.33578490358364549,14,SpectralGateConfig.required_eigenvalues passed as eigsh count; raw eigenvalues are not serialized by current manifest schema
TwoRoom,2,27,False,0.57297489511721156,0.57353266235172151,0.0005577672345099538,"[0.05877335725673099,0.13025316837850218,0.2176033057066359,0.16381721924179812,0.1713967998083739,0.1634726968604237,0.048652779720444614,0.10340259901164561,0.15451164828202904,0.050960736856082114]",10,0.14238240833026561,0.050404101050614686,0.29359471148210969,14,SpectralGateConfig.required_eigenvalues passed as eigsh count; raw eigenvalues are not serialized by current manifest schema
TwoRoom,2,30,True,0.57353266235172151,0.57353266235172151,0.0005577672345099538,"[0.05551163749014848,0.1296401647346033,0.22081358072306492,0.16250524874014222,0.17319342113043606,0.16296649873889335,0.04944543354566542,0.10393867010339562,0.1537832891556955,0.050227688134315274]",10,0.14171172694514939,0.051338546936345077,0.29572736775418462,14,SpectralGateConfig.required_eigenvalues passed as eigsh count; raw eigenvalues are not serialized by current manifest schema
TwoRoom,2,33,False,0.57385611148334559,0.57353266235172151,0.0005577672345099538,"[0.051712114232607485,0.1294715878063724,0.22317387430894392,0.16099173376500533,0.1749269865774928,0.16364186913663797,0.04989320903042202,0.1040654013373711,0.15298871113792498,0.05167096431237163]",10,0.14123014947214868,0.052529693138502219,0.29881922888765533,14,SpectralGateConfig.required_eigenvalues passed as eigsh count; raw eigenvalues are not serialized by current manifest schema
PushT,0,27,False,0.15664595633342643,0.16200180563577113,0.011556099921977397,"[0.09448570945354756,0.10901093514022356,0.02426728728386963,0.06264675274714472,0.041231357000390816,0.08649744839315204,0.010700002762813025,0.09858096878085469,0.08037064596571881,0.03363096094464215]",10,0.071508699356431768,0.042513267212857871,0.19904850099500537,14,SpectralGateConfig.required_eigenvalues passed as eigsh count; raw eigenvalues are not serialized by current manifest schema
