task,candidate_gap_min,perturbation_threshold_max,retained_safety_fraction,robust_residual_gap,background_threshold,safety_pass,background_pass,selected_method,reason,deployment_seed,manifest_path,manifest_sha256
TwoRoom,0.57353266235172151,0.0028767691857112254,0.99498412318155471,0.57065589316601029,0.33578490358364549,True,True,spectral,spectrally_nondegenerate,0,experiments/tworoom/results/auto_gate_complete_k3/auto/partition/manifest.json,cb18d618e7697ce4965e38af9e1b7cb7a489083aed84faf26f00660dcc5e5943
PushT,0.14222104073161526,0.14051227611834044,0.012014850998731119,0.0017087646132748213,0.22395176859263535,False,False,global,safety_and_background_checks_failed,0,experiments/pusht/results/auto_gate_complete_k3/auto/partition/manifest.json,bc9344cf30466640c93a3951fbcbbad74df66e9cf5f2c1ff4981ab4961401803
