trial,reference_n,holdout_n,iid_rule_drift,iid_rule_diff_fro,iid_reference_jacobian_fro,iid_holdout_jacobian_fro
0,512,512,1.1139492988586426,0.39754581451416016,0.3568796217441559,0.592134416103363
1,512,512,0.38557225465774536,0.1735319346189499,0.4500633180141449,0.43999502062797546
2,512,512,0.4517434239387512,0.2028130739927292,0.44895634055137634,0.5162081718444824
3,512,512,0.8150361776351929,0.37215039134025574,0.4566059708595276,0.7549996376037598
4,512,512,0.8136353492736816,0.3485807776451111,0.42842382192611694,0.6187084913253784
5,512,512,0.39457938075065613,0.1961013823747635,0.4969884157180786,0.516956090927124
6,512,512,0.40652206540107727,0.22297333180904388,0.5484901070594788,0.5207228064537048
7,512,512,0.6243775486946106,0.36090707778930664,0.5780270099639893,0.3777328431606293
8,512,512,0.5067941546440125,0.302343487739563,0.596580445766449,0.4521488845348358
9,512,512,0.35151907801628113,0.14513073861598969,0.41286730766296387,0.41980183124542236
10,512,512,0.85856693983078,0.44499820470809937,0.5183034539222717,0.4123304784297943
11,512,512,0.8062055110931396,0.34296417236328125,0.4254053831100464,0.5719085931777954
12,512,512,0.41419127583503723,0.2523529529571533,0.6092666983604431,0.45086684823036194
13,512,512,0.288174033164978,0.1463797241449356,0.5079559683799744,0.4110439419746399
14,512,512,1.5129066705703735,0.47913214564323425,0.316696435213089,0.7397828102111816
15,512,512,0.3800852596759796,0.1980484426021576,0.5210632085800171,0.40256187319755554
16,512,512,1.2301223278045654,0.4451334774494171,0.36186113953590393,0.7106442451477051
17,512,512,0.39774882793426514,0.20470206439495087,0.5146515965461731,0.4464717209339142
18,512,512,0.7166186571121216,0.423351526260376,0.5907626152038574,0.312289297580719
19,512,512,0.6081841588020325,0.3277207016944885,0.5388510823249817,0.4191707670688629
