metric,loss_kind,estimate,ci_low,ci_high
correct_minus_global,mean_trajectory,8.989430460594862e-05,4.4401322247758883e-05,0.0001377888796663233
correct_minus_wrong_mean,mean_trajectory,-0.10263370785441105,-0.10479605802957886,-0.10049363068739964
correct_minus_wrong_best,mean_trajectory,-0.041071678637901926,-0.04256622064935942,-0.03959634990506906
correct_minus_global,terminal,8.989430460594862e-05,4.444163884511585e-05,0.0001379775488049397
correct_minus_wrong_mean,terminal,-0.10263370785441105,-0.10476429727482368,-0.10048701342857361
correct_minus_wrong_best,terminal,-0.041071678637901926,-0.042558044301472676,-0.039581739626076105
correct_minus_global,mean_trajectory,0.003037697336822109,0.0024588517499355,0.0036311714011932937
correct_minus_wrong_mean,mean_trajectory,-0.41249938312173556,-0.4205849389963083,-0.40440943782470007
correct_minus_wrong_best,mean_trajectory,-0.22462064536371223,-0.23252035213369593,-0.21683015489945287
correct_minus_global,terminal,0.008682150279843374,0.007251786995926484,0.01014909802595621
correct_minus_wrong_mean,terminal,-0.7031226269412555,-0.7163395992363539,-0.6900254449826448
correct_minus_wrong_best,terminal,-0.4043852183886698,-0.41818105491480434,-0.39072865805351165
correct_minus_global,mean_trajectory,0.021809791996939012,0.018862116160261354,0.024771838666859416
correct_minus_wrong_mean,mean_trajectory,-0.7212335476381162,-0.7357513490801307,-0.7068554323992858
correct_minus_wrong_best,mean_trajectory,-0.4768747464601798,-0.49354092393164756,-0.46021166040582423
correct_minus_global,terminal,0.07400828435861331,0.06543398192110866,0.08280189141988917
correct_minus_wrong_mean,terminal,-1.1081164380638155,-1.1299202195794555,-1.0863358906838465
correct_minus_wrong_best,terminal,-0.7711939058007183,-0.7981292873446397,-0.7443816066253669
