task,train_seed,horizon,global_mse,correct_mse,wrong_mean_mse,wrong_best_mse,global_minus_correct,relative_gain,wrong_penalty,anchor_support
pusht,0,1,0.002782172314661542,0.0028249952254994232,0.11719098982764228,0.05829969890046976,-4.282291083788133e-05,-0.01539189740772431,0.11436599460214286,common_h10
pusht,0,5,0.014221008229913014,0.016804871698150214,0.45150339407686585,0.2678435260745743,-0.0025838634682371995,-0.18169340924803082,0.43469852237871565,common_h10
pusht,0,10,0.04472520319162008,0.06540514745267825,0.7863371387223477,0.5412876576188859,-0.020679944261058174,-0.4623778716545409,0.7209319912696694,common_h10
pusht,42,1,0.0027807456091154584,0.0027957830566323386,0.11782776925717284,0.05880537716199288,-1.5037447516880187e-05,-0.005407703411483054,0.1150319862005405,common_h10
pusht,42,5,0.014084964393574087,0.01682261485485212,0.4530924681570348,0.27021699461803794,-0.0027376504612780326,-0.19436687128062724,0.4362698533021827,common_h10
pusht,42,10,0.04339505049138817,0.06543638924627515,0.7870630872129867,0.5435887333000502,-0.02204133875488698,-0.5079228738139416,0.7216266979667115,common_h10
pusht,625,1,0.0028013499539258566,0.0027998768353054565,0.11660098404136184,0.05845761326588446,1.4731186204000601e-06,0.0005258602618839564,0.11380110720605638,common_h10
pusht,625,5,0.013947799136722736,0.016561970788140864,0.4514324195679743,0.26913527814627025,-0.002614171651418128,-0.18742538703008382,0.43487044877983344,common_h10
pusht,625,10,0.04273500691589316,0.065443099890765,0.7865850535687324,0.5420324850513217,-0.022708092974871835,-0.5313698209892342,0.7211419536779674,common_h10
