task,partition_seed,train_seed,eval_seed,regional_percent,global_percent,delta_pp,regional_source,regional_sha256,global_source,global_sha256
reacher,1,42,3,78.0,82.0,-4.0,experiments/reacher/matrix_k4_long/eval/gmm/partition1_train42/eval3/results.json,7dfcc77797dda084e8d5653ec5a8ebe3c955ddd71e2c7ed67bf91e4d82dac4f1,experiments/reacher/matrix_k4_long/eval/global/train42/eval3/results.json,2f24d94460a04f02dd38362a743b71b5ca80b7176223279107ed661119bd2ccf
reacher,1,42,4,68.0,82.0,-14.0,experiments/reacher/matrix_k4_long/eval/gmm/partition1_train42/eval4/results.json,0ca3065064888b7c41c8732faf9b6545ebc7c329c60af751742ae5e36d42808d,experiments/reacher/matrix_k4_long/eval/global/train42/eval4/results.json,83c7674e2b99de331b0cdee7b89f8c9d903f8317fb35e7be831cf10201ed47e9
reacher,1,625,0,72.0,72.0,0.0,experiments/reacher/matrix_k4_long/eval/gmm/partition1_train625/eval0/results.json,44ab901605639685be3776fa1a28cde45af2175e12bb321a8e6d2aa889cb8cd0,experiments/reacher/matrix_k4_long/eval/global/train625/eval0/results.json,f2d7da8888a0a23830722de58cb8e28d8f16c304c1e478cc63d3d39276f2ae0c
reacher,1,625,1,74.0,76.0,-2.0,experiments/reacher/matrix_k4_long/eval/gmm/partition1_train625/eval1/results.json,0fab07d48a39be975c0160b799a6536af469b5b6a611126a023933ea8d6bd441,experiments/reacher/matrix_k4_long/eval/global/train625/eval1/results.json,5a96154ca21e5314ddf8da9d82ea69273a56d3d23c51ac326dff0d188e23ca62
reacher,1,625,2,78.0,86.0,-8.0,experiments/reacher/matrix_k4_long/eval/gmm/partition1_train625/eval2/results.json,7f06417451d80219e05113c5f7fd3779029ca1056aa00272b468d073e5a7c35c,experiments/reacher/matrix_k4_long/eval/global/train625/eval2/results.json,6063269a05c418282d8ed4f49bbfe68b68c2affc793e70f8dbcf47c9ab4da506
reacher,1,625,3,68.0,84.0,-16.0,experiments/reacher/matrix_k4_long/eval/gmm/partition1_train625/eval3/results.json,fb82fa6a53d5736f918044e85e728cb6f30bbbb90b167485aab3de3f8718b909,experiments/reacher/matrix_k4_long/eval/global/train625/eval3/results.json,d35d903244da4ae7ff582c8f19a82e8225dec4e5241993e4f1c1e8847470b2b7
reacher,1,625,4,84.0,76.0,8.0,experiments/reacher/matrix_k4_long/eval/gmm/partition1_train625/eval4/results.json,5a89026e07cf70caebac42e01ba90e04e08ec36c3b69485f945781c4739aba09,experiments/reacher/matrix_k4_long/eval/global/train625/eval4/results.json,4b9a568e2756cea8979f66967afb2453708d31526d0c80e4e6a854f0bbf28cb9
reacher,2,0,0,66.0,66.0,0.0,experiments/reacher/matrix_k4_long/eval/gmm/partition2_train0/eval0/results.json,d07a3df117aa7828f487acc93ec69071a68fed7e3273a0c1118b8e09345e3e65,experiments/reacher/matrix_k4_long/eval/global/train0/eval0/results.json,90b02f54a2e3a6a4e368097c36b3c3f2c64d6722617d145d369e8892c35d1299
reacher,2,0,1,76.0,76.0,0.0,experiments/reacher/matrix_k4_long/eval/gmm/partition2_train0/eval1/results.json,37c12b510dc45a343e35ad865a1402d88da503bfc4212492583d1474df14d6ab,experiments/reacher/matrix_k4_long/eval/global/train0/eval1/results.json,6f2f308baddd79753802d3969a75940a052558bf97c1ada39868f4e07a319871
reacher,2,0,2,76.0,82.0,-6.0,experiments/reacher/matrix_k4_long/eval/gmm/partition2_train0/eval2/results.json,81fbe8a525fe53e2ad88dd1a10b839af6c830d8fd06a7983e3b87fb28363add4,experiments/reacher/matrix_k4_long/eval/global/train0/eval2/results.json,74e11c07be865cead074ca10b2c458f652d4f8933496455886641d6f63097f40
reacher,2,0,3,84.0,82.0,2.0,experiments/reacher/matrix_k4_long/eval/gmm/partition2_train0/eval3/results.json,c1cadb3d8fb5f3f0e5049316a347d7954bde66022abcd3a7880866cf616aa793,experiments/reacher/matrix_k4_long/eval/global/train0/eval3/results.json,27698a1cb76890709960f6875af79da23af97d0adc55f90cf14574df49866b9b
reacher,2,0,4,80.0,82.0,-2.0,experiments/reacher/matrix_k4_long/eval/gmm/partition2_train0/eval4/results.json,dc145fa86c206a242ba451ab47d0e9849ed677fcda9aa4cfa7477f081da6006a,experiments/reacher/matrix_k4_long/eval/global/train0/eval4/results.json,ce427d35f381a40fc9eb4b4cb91aa83f23f54a044201effc6f2ef115b6cf1547
reacher,2,42,0,74.0,70.0,4.0,experiments/reacher/matrix_k4_long/eval/gmm/partition2_train42/eval0/results.json,b191169ce98b585b691dd40bebbe48cf9d844a194e9edb89dba06c4386ca343c,experiments/reacher/matrix_k4_long/eval/global/train42/eval0/results.json,a3826cf545eb1f597bac7674306ed0d2edc196a23de51743ffc6e8fb9e437179
reacher,2,42,1,82.0,84.0,-2.0,experiments/reacher/matrix_k4_long/eval/gmm/partition2_train42/eval1/results.json,5e745baef481ba783d17a4e7eee7609a133bbac9e78da8badf540290df706e1c,experiments/reacher/matrix_k4_long/eval/global/train42/eval1/results.json,51b0d5ec63b2686a6ad735e2ac4310a7813357e739f4f0dd256f0a08a30398ea
reacher,2,42,2,76.0,80.0,-4.0,experiments/reacher/matrix_k4_long/eval/gmm/partition2_train42/eval2/results.json,535e67b42d69a1a860169cdc98e9f76739ad16509a451ce06f5bd78cd8af3a23,experiments/reacher/matrix_k4_long/eval/global/train42/eval2/results.json,1e8ea0c8c97308b9b7952da18341748b0647eaf72b4c939a6085592873dc5c4a
reacher,2,42,3,76.0,82.0,-6.0,experiments/reacher/matrix_k4_long/eval/gmm/partition2_train42/eval3/results.json,2f1c3c0b900f4be384818aa55a58aeafacfff5eeda131455a104569d3613c131,experiments/reacher/matrix_k4_long/eval/global/train42/eval3/results.json,2f24d94460a04f02dd38362a743b71b5ca80b7176223279107ed661119bd2ccf
reacher,2,42,4,82.0,82.0,0.0,experiments/reacher/matrix_k4_long/eval/gmm/partition2_train42/eval4/results.json,13aaea7acc51c1f0e47e06a8fdbfaae617d91aae0b1bad2f251ea18139645cad,experiments/reacher/matrix_k4_long/eval/global/train42/eval4/results.json,83c7674e2b99de331b0cdee7b89f8c9d903f8317fb35e7be831cf10201ed47e9
reacher,2,625,0,72.0,72.0,0.0,experiments/reacher/matrix_k4_long/eval/gmm/partition2_train625/eval0/results.json,4dde905cf879829c12c947063eb42018fb0b5ccfe8125519b2a4bbf7fa008e10,experiments/reacher/matrix_k4_long/eval/global/train625/eval0/results.json,f2d7da8888a0a23830722de58cb8e28d8f16c304c1e478cc63d3d39276f2ae0c
reacher,2,625,1,80.0,76.0,4.0,experiments/reacher/matrix_k4_long/eval/gmm/partition2_train625/eval1/results.json,bf03065f6531635c75835f0131170985f5d7ab13e47932d0741815682ca26832,experiments/reacher/matrix_k4_long/eval/global/train625/eval1/results.json,5a96154ca21e5314ddf8da9d82ea69273a56d3d23c51ac326dff0d188e23ca62
reacher,2,625,2,84.0,86.0,-2.0,experiments/reacher/matrix_k4_long/eval/gmm/partition2_train625/eval2/results.json,e3bf3f20b4337aefc1ede908ea36a3efc0b9f4c659788b6eb232fe68a6e5f34d,experiments/reacher/matrix_k4_long/eval/global/train625/eval2/results.json,6063269a05c418282d8ed4f49bbfe68b68c2affc793e70f8dbcf47c9ab4da506
reacher,2,625,3,78.0,84.0,-6.0,experiments/reacher/matrix_k4_long/eval/gmm/partition2_train625/eval3/results.json,b5c173c9201b29b9789491ba690e97504e9448c04b6db89c47acc6b984142341,experiments/reacher/matrix_k4_long/eval/global/train625/eval3/results.json,d35d903244da4ae7ff582c8f19a82e8225dec4e5241993e4f1c1e8847470b2b7
reacher,2,625,4,70.0,76.0,-6.0,experiments/reacher/matrix_k4_long/eval/gmm/partition2_train625/eval4/results.json,52a5a51f495be2769957f326f529ea70b8227aaa30a2b0d90e96011e59465b2b,experiments/reacher/matrix_k4_long/eval/global/train625/eval4/results.json,4b9a568e2756cea8979f66967afb2453708d31526d0c80e4e6a854f0bbf28cb9
cube,0,0,0,57.99999999999999,54.0,3.999999999999993,experiments/cube/matrix_k4_long/eval/gmm/partition0_train0/eval0/results.json,3cc6211f53b7f7999618e6c8f2d7c21c4b373ab817d4dcfa479865415634f0fb,experiments/cube/matrix_k4_long/eval/global/train0/eval0/results.json,48d18490c0f1792274fb1eb89805f9eb48eb9f5e384b15728389259146ec2088
cube,0,0,1,50.0,48.0,2.0,experiments/cube/matrix_k4_long/eval/gmm/partition0_train0/eval1/results.json,88eeb054b48e6866742f01d5f20bc9bcfbdf6a2fdf568e0ff2fafaf57a813a6c,experiments/cube/matrix_k4_long/eval/global/train0/eval1/results.json,de99735f777d4c4b1ff443c89d287dd9e470fad9759c98e7e9c441dde418e3b6
cube,0,0,2,40.0,38.0,2.0,experiments/cube/matrix_k4_long/eval/gmm/partition0_train0/eval2/results.json,75895816efb710e6be3a2e6141cc48c995d2898a6c0d4af968b43ba24a9f591a,experiments/cube/matrix_k4_long/eval/global/train0/eval2/results.json,b275e3cc7b0b7b48021bbe4eb7c69d952684e8d128a172f2d7a585253be9d334
cube,0,0,3,44.0,44.0,0.0,experiments/cube/matrix_k4_long/eval/gmm/partition0_train0/eval3/results.json,99dd9e475731e85a11a42fdddcdc9fa76cebb5942c0a5274f21bf07943510984,experiments/cube/matrix_k4_long/eval/global/train0/eval3/results.json,e36ec568a970af1ebab1af1cadf378bdf42a022e87e3d74afcb467458c641ba0
cube,0,0,4,60.0,54.0,6.0,experiments/cube/matrix_k4_long/eval/gmm/partition0_train0/eval4/results.json,a10e9c511bb8edda46f98b9d6cbc33caf1153254a56c3602adbf62932800e08c,experiments/cube/matrix_k4_long/eval/global/train0/eval4/results.json,0c00125310ea864864ae431cc6adf3a6e945c8f89812d2106c28cd51ccdb68f5
cube,0,42,0,56.00000000000001,54.0,2.000000000000007,experiments/cube/matrix_k4_long/eval/gmm/partition0_train42/eval0/results.json,6c565ba8c65facfcc0b33cdd13b1443f1899a6fc8f80f89ea1f9f647048e570a,experiments/cube/matrix_k4_long/eval/global/train42/eval0/results.json,6b59dd502ede9a344836aaf2ec60e339c60c5f255ad5aabb898633385f4506ed
cube,0,42,1,50.0,52.0,-2.0,experiments/cube/matrix_k4_long/eval/gmm/partition0_train42/eval1/results.json,c27f5d6ab06b39ad6a51f2a63e9fb1672938fefc23617787c023f9b947b05375,experiments/cube/matrix_k4_long/eval/global/train42/eval1/results.json,8914321a6b7a30d392a9a13f52b8e744bb6d3d6a677111dacea90ea0e6cd8473
cube,0,42,2,40.0,34.0,6.0,experiments/cube/matrix_k4_long/eval/gmm/partition0_train42/eval2/results.json,915caba4234e0e59e018e4d3bd376f3daaac18fda274b88108a9439f8498a9f9,experiments/cube/matrix_k4_long/eval/global/train42/eval2/results.json,9c2ff17ea768c54ec701aa50da448d04d810feb4543f357818f12489153951ee
cube,0,42,3,46.0,48.0,-2.0,experiments/cube/matrix_k4_long/eval/gmm/partition0_train42/eval3/results.json,3d81705289e540626fa1bda1249beb1dab61188f8209e40e3264d7d3a58e5d03,experiments/cube/matrix_k4_long/eval/global/train42/eval3/results.json,1b799f36300d68b9f57dbeffb899a793139be8d7024064396a99662cf71783bb
cube,0,42,4,62.0,57.99999999999999,4.000000000000007,experiments/cube/matrix_k4_long/eval/gmm/partition0_train42/eval4/results.json,f9f28cd4220877d7dd41a1593d3a714329bd3b22c7874f650b6c8f47fe4ed887,experiments/cube/matrix_k4_long/eval/global/train42/eval4/results.json,5eb9f060839793514ed5382bcfc5c681901b597a34fb52f2199c24dcebf064cb
cube,0,625,0,56.00000000000001,57.99999999999999,-1.9999999999999858,experiments/cube/matrix_k4_long/eval/gmm/partition0_train625/eval0/results.json,f621947137c47a5e188ff94808aca3d2da5915f7920e27c6961f42871a6fb4a0,experiments/cube/matrix_k4_long/eval/global/train625/eval0/results.json,80a0f93ce3681e0f087066384222d45f06622b086638c5333260f0f3ea369cf3
cube,0,625,1,48.0,40.0,8.0,experiments/cube/matrix_k4_long/eval/gmm/partition0_train625/eval1/results.json,d81be38f7511c0196610d7e146061e1b77ae4e463e6daced4ed946a0ab089fa7,experiments/cube/matrix_k4_long/eval/global/train625/eval1/results.json,72c744e010b710d222a62b697d036c71eb486d0fa37e40d5506b652da7aaac80
cube,0,625,2,42.0,32.0,10.0,experiments/cube/matrix_k4_long/eval/gmm/partition0_train625/eval2/results.json,ca1f0bac31d30f70872f6eed0602a6eff9b71aaf01293dc9b38818e50076ec6d,experiments/cube/matrix_k4_long/eval/global/train625/eval2/results.json,68623d9b4355adb27dae2c75f3150ded3013623f33855e60065bfd9bd3021223
cube,0,625,3,50.0,48.0,2.0,experiments/cube/matrix_k4_long/eval/gmm/partition0_train625/eval3/results.json,fb38d45bf47954fd5634d3e52d43cf3702a768c515db91a22df19af89cf921f2,experiments/cube/matrix_k4_long/eval/global/train625/eval3/results.json,51def2e4c22f1b198ac13bf8db90410694a817141d81d7e6aea0a836d9c4f388
cube,0,625,4,60.0,60.0,0.0,experiments/cube/matrix_k4_long/eval/gmm/partition0_train625/eval4/results.json,eae0c0d52681fb1f742493b1f9df21ef2c422a23ae15cebf1e6d75d56d2b41da,experiments/cube/matrix_k4_long/eval/global/train625/eval4/results.json,8d35663d6a73f43b2bc7b78413c9d0d9319a3ffed5d78961d590d9b93bcd7bf4
cube,1,0,0,57.99999999999999,54.0,3.999999999999993,experiments/cube/matrix_k4_long/eval/gmm/partition1_train0/eval0/results.json,406895eca4c831fb539f764d0d33fa8d85e4b8f217e5faed95ed7d332e49d879,experiments/cube/matrix_k4_long/eval/global/train0/eval0/results.json,48d18490c0f1792274fb1eb89805f9eb48eb9f5e384b15728389259146ec2088
cube,1,0,1,44.0,48.0,-4.0,experiments/cube/matrix_k4_long/eval/gmm/partition1_train0/eval1/results.json,fe17bace318520482c00a10f86c3d8ee8293589efb95b4957287ccd9e459f861,experiments/cube/matrix_k4_long/eval/global/train0/eval1/results.json,de99735f777d4c4b1ff443c89d287dd9e470fad9759c98e7e9c441dde418e3b6
cube,1,0,2,42.0,38.0,4.0,experiments/cube/matrix_k4_long/eval/gmm/partition1_train0/eval2/results.json,910251f57ff1de92f85b3a1ffeb1029368a7186cf13612ec6d1b66526505ddd5,experiments/cube/matrix_k4_long/eval/global/train0/eval2/results.json,b275e3cc7b0b7b48021bbe4eb7c69d952684e8d128a172f2d7a585253be9d334
cube,1,0,3,52.0,44.0,8.0,experiments/cube/matrix_k4_long/eval/gmm/partition1_train0/eval3/results.json,577794bffb44675da46f7d204c12358ba6a6120f7fe89da9f14c68cf5ed22190,experiments/cube/matrix_k4_long/eval/global/train0/eval3/results.json,e36ec568a970af1ebab1af1cadf378bdf42a022e87e3d74afcb467458c641ba0
cube,1,0,4,57.99999999999999,54.0,3.999999999999993,experiments/cube/matrix_k4_long/eval/gmm/partition1_train0/eval4/results.json,92a261ee2cf7e2e88bcd4dc1fa08a46d06e3991abc4bf5d92ab2850c5358262e,experiments/cube/matrix_k4_long/eval/global/train0/eval4/results.json,0c00125310ea864864ae431cc6adf3a6e945c8f89812d2106c28cd51ccdb68f5
cube,1,42,0,60.0,54.0,6.0,experiments/cube/matrix_k4_long/eval/gmm/partition1_train42/eval0/results.json,e42c715c886969d6a7979e9615e52c3d977945270eab4326a78df3863101b4a3,experiments/cube/matrix_k4_long/eval/global/train42/eval0/results.json,6b59dd502ede9a344836aaf2ec60e339c60c5f255ad5aabb898633385f4506ed
cube,1,42,1,50.0,52.0,-2.0,experiments/cube/matrix_k4_long/eval/gmm/partition1_train42/eval1/results.json,a4441972ea35b88246b2b07e26347674304e290a90d86724a5129948a7a49fda,experiments/cube/matrix_k4_long/eval/global/train42/eval1/results.json,8914321a6b7a30d392a9a13f52b8e744bb6d3d6a677111dacea90ea0e6cd8473
