task,num_clusters,partition_seed,region_left,region_right,left_transition_count,right_transition_count,pairwise_response_contrast,pairwise_mean_action_contrast,pairwise_action_slope_contrast
tworoom,4,0,0,1,195111,194730,0.015493976089930559,0.0007431478296376956,0.014750828260292864
tworoom,4,0,0,2,195111,256043,0.016738425999574418,0.0010309491610316906,0.015707476838542726
tworoom,4,0,0,3,195111,245579,0.017767275087931154,0.001478790019245996,0.01628848506868516
tworoom,4,0,1,2,194730,256043,0.01818351730332411,0.0015652936925000906,0.016618223610824018
tworoom,4,0,1,3,194730,245579,0.01565898278979133,0.0010146878782412994,0.014644294911550032
tworoom,4,0,2,3,256043,245579,0.018957209211110854,0.0017949592812645714,0.01716224992984628
tworoom,4,1,0,1,248225,199569,0.015639940255234436,0.0009658864516450784,0.014674053803589356
tworoom,4,1,0,2,248225,192404,0.016959328176319115,0.0011397451958604964,0.01581958298045862
tworoom,4,1,0,3,248225,251265,0.0190788598673527,0.0015942367390707278,0.017484623128281973
tworoom,4,1,1,2,199569,192404,0.015084260194780715,0.0006828913325827345,0.014401368862197981
tworoom,4,1,1,3,199569,251265,0.018638409318367483,0.0016310846643317921,0.01700732465403569
tworoom,4,1,2,3,192404,251265,0.016523755204853247,0.0009375038802357303,0.015586251324617516
tworoom,4,2,0,1,201118,248849,0.01586474758193555,0.000982699756058931,0.01488204782587662
tworoom,4,2,0,2,201118,252405,0.019592312815561223,0.001820397609093826,0.017771915206467398
tworoom,4,2,0,3,201118,189091,0.015217266182215753,0.0006874739327065178,0.014529792249509236
tworoom,4,2,1,2,248849,252405,0.01907825730129902,0.001732284949966063,0.017345972351332957
tworoom,4,2,1,3,248849,189091,0.016301120725921145,0.0010097279739391543,0.01529139275198199
tworoom,4,2,2,3,252405,189091,0.016381082482176908,0.0009663983024578228,0.015414684179719087
pusht,4,0,0,1,490852,743174,0.05887816971666036,0.006665535409660508,0.05221263430699985
pusht,4,0,0,2,490852,663706,0.06574656964536742,0.013464781973918821,0.052281787671448594
pusht,4,0,0,3,490852,383501,0.061477121258862344,0.008374107650524678,0.05310301360833766
pusht,4,0,1,2,743174,663706,0.058558717662636046,0.010691078601815056,0.04786763906082099
pusht,4,0,1,3,743174,383501,0.05297871542658662,0.006610774948311511,0.04636794047827511
pusht,4,0,2,3,663706,383501,0.06717848023151521,0.012432775837505967,0.05474570439400925
pusht,4,1,0,1,474361,716579,0.05861259668587595,0.0057545884513149495,0.052858008234561
pusht,4,1,0,2,474361,708922,0.06225664069102533,0.011247322415182797,0.051009318275842534
pusht,4,1,0,3,474361,381371,0.05872664480198633,0.0067412111411039866,0.051985433660882346
pusht,4,1,1,2,716579,708922,0.059197034028843055,0.010243251061197152,0.0489537829676459
pusht,4,1,1,3,716579,381371,0.05242887261416522,0.006467665688925437,0.045961206925239785
pusht,4,1,2,3,708922,381371,0.06561291491079567,0.0119035138410532,0.053709401069742466
pusht,4,2,0,1,629183,498048,0.07238735663262894,0.007274079422105089,0.06511327721052385
pusht,4,2,0,2,629183,784372,0.057926674259277534,0.007682490635325385,0.05024418362395215
pusht,4,2,0,3,629183,369630,0.06282305639272784,0.0083647612486287,0.054458295144099146
pusht,4,2,1,2,498048,784372,0.05976781302132529,0.008732156335415422,0.05103565668590987
pusht,4,2,1,3,498048,369630,0.0633104562916971,0.009331301247857566,0.05397915504383954
pusht,4,2,2,3,784372,369630,0.056298243994813556,0.00772623621384792,0.04857200778096563
reacher,4,0,0,1,495384,471429,0.019936908414259293,0.00018520747017261466,0.019751700944086677
reacher,4,0,0,2,495384,503643,0.014256541364406506,0.0001330675697572131,0.014123473794649294
reacher,4,0,0,3,495384,509696,0.011277964326476637,0.00013405255054227896,0.011143911775934358
reacher,4,0,1,2,471429,503643,0.011414130553945183,0.00011320862630571906,0.011300921927639464
reacher,4,0,1,3,471429,509696,0.01574673234906329,0.00014597134568213228,0.01560076100338116
reacher,4,0,2,3,503643,509696,0.020073377481559303,0.00023139754541095083,0.019841979936148352
reacher,4,1,0,1,496420,504173,0.021385582837399865,0.00025867979675946905,0.021126903040640396
reacher,4,1,0,2,496420,505767,0.01179619030232448,0.0001396278249374561,0.011656562477387023
reacher,4,1,0,3,496420,473792,0.016759094270408465,0.00016791036007857295,0.016591183910329894
reacher,4,1,1,2,504173,505767,0.012912924443764288,0.00011750361924435209,0.012795420824519937
reacher,4,1,1,3,504173,473792,0.011894676296315652,0.000126308133548959,0.011768368162766694
reacher,4,1,2,3,505767,473792,0.018989761545172033,0.00018750900032132363,0.018802252544850708
reacher,4,2,0,1,497691,479634,0.011082633246412286,0.00010737357781121477,0.010975259668601071
reacher,4,2,0,2,497691,501563,0.014688758759118285,0.00013966520293884888,0.014549093556179437
reacher,4,2,0,3,497691,501264,0.021002612047801017,0.000246627069972879,0.02075598497782814
reacher,4,2,1,2,479634,501563,0.018648997661658836,0.00017314489787515088,0.018475852763783687
reacher,4,2,1,3,479634,501264,0.015796083638695557,0.00015045122598344863,0.015645632412712107
reacher,4,2,2,3,501563,501264,0.01120790661677,0.0001389706510406539,0.011068935965729346
cube,4,0,0,1,544027,666264,0.07132742289522483,0.0007234090352701846,0.07060401385995464
cube,4,0,0,2,544027,408716,0.08716719152123151,0.0008029376700806714,0.08636425385115083
cube,4,0,0,3,544027,361145,0.08684997375676357,0.001044473752192528,0.08580550000457103
cube,4,0,1,2,666264,408716,0.08810079202277836,0.0006026099830140191,0.08749818203976434
cube,4,0,1,3,666264,361145,0.08753442574850374,0.0008903514456424668,0.08664407430286128
cube,4,0,2,3,408716,361145,0.09447112500627643,0.0010320812835689227,0.0934390437227075
cube,4,1,0,1,561783,458519,0.07968464666607021,0.0008081306778224267,0.07887651598824778
cube,4,1,0,2,561783,475376,0.07375331434263173,0.0008047389942704491,0.07294857534836129
cube,4,1,0,3,561783,484474,0.08787298382935284,0.0006864624498059943,0.08718652137954684
cube,4,1,1,2,458519,475376,0.08373837892595738,0.0010347391082562555,0.08270363981770112
cube,4,1,1,3,458519,484474,0.09012051236356414,0.0007296734534880531,0.08939083891007608
cube,4,1,2,3,475376,484474,0.09127856215798559,0.0007996146256204555,0.09047894753236513
cube,4,2,0,1,456412,466514,0.08432046567490344,0.0009682539126888332,0.0833522117622146
cube,4,2,0,2,456412,500599,0.08819189864045779,0.0007254062929367048,0.08746649234752109
cube,4,2,0,3,456412,556627,0.08083859865238144,0.0008046362032150667,0.08003396244916637
cube,4,2,1,2,466514,500599,0.08788133926840162,0.0007994541221354212,0.0870818851462662
cube,4,2,1,3,466514,556627,0.07395375467562917,0.0007822204765402138,0.07317153419908896
cube,4,2,2,3,500599,556627,0.08538300412840687,0.0006842218764734482,0.08469878225193342
