task,num_clusters,partition_seed,transition_count,action_dim,minimum_pairwise_response,mean_pairwise_response,pairwise_uniformity_min_over_mean
tworoom,4,0,891463,2,0.015493976089930559,0.017133231080277072,0.9043230676884092
tworoom,4,1,891463,2,0.015084260194780715,0.016987425502817947,0.887966230802806
tworoom,4,2,891463,2,0.015217266182215753,0.0170724645148516,0.89133388849501
pusht,4,0,2281233,2,0.05297871542658662,0.06080296232360466,0.8713179983669884
pusht,4,1,2281233,2,0.05242887261416522,0.05947245062211526,0.8815657008535842
pusht,4,2,2281233,2,0.056298243994813556,0.06208560009874503,0.9067842447406986
reacher,4,0,1980152,2,0.011277964326476637,0.015450942414951702,0.729920805061255
reacher,4,1,1980152,2,0.01179619030232448,0.01562303828256413,0.7550509759352922
reacher,4,2,1980152,2,0.011082633246412286,0.015404498661742663,0.7194413456593817
cube,4,0,1980152,5,0.07132742289522483,0.0859084884917964,0.8302721203392613
cube,4,1,1980152,5,0.07375331434263173,0.08440806638092697,0.8737709262262782
cube,4,2,1980152,5,0.07395375467562917,0.08342817684003005,0.8864361835142619
