"method_id","method_label","seed_type","n_method_seeds","mean_percent","sd_percent","x_position","lower","upper","label_y","value_label"
"baseline","Official
baseline","official",1,90.4,NA,1,NA,NA,90.74,"90.4%"
"joint3","Joint-Continue
3ep","fine_tuning",3,90.9333333333333,0.611010092660773,2,90.3223232406726,91.5443434259941,91.8843434259941,"90.9 ± 0.6%"
"globalft50","Global-FT
50ep","fine_tuning",3,90.1333333333333,1.00664459136943,3,89.1266887419639,91.1399779247028,91.4799779247028,"90.1 ± 1.0%"
"random","Random-Voronoi
K3-50","fine_tuning",3,91.4666666666667,1.05830052442584,4,90.4083661422408,92.5249671910925,92.8649671910925,"91.5 ± 1.1%"
"kmeans","K-means++
K3-50","fine_tuning",3,91.5111111111111,0.384900179459753,5,91.1262109316514,91.8960112905709,92.2360112905709,"91.5 ± 0.4%"
"spectral","Spectral
K3-50","fine_tuning",3,91.4222222222222,0.277555466595485,6,91.1446667556267,91.6997776888177,92.0397776888177,"91.4 ± 0.3%"
"rooms3","Human partition
rooms3-50","fine_tuning",3,91.8666666666667,0.832666399786451,7,91.0340002668802,92.6993330664531,93.0393330664531,"91.9 ± 0.8%"
"autolap","Auto-LAP","fine_tuning",3,91.4666666666667,0.230940107675845,8,91.2357265589908,91.6976067743425,92.0376067743425,"91.5 ± 0.2%"
