model,task,num_clusters,partition_seed_count,q_mean,epsilon_q95_max,epsilon_score95_max,heldout_affine_l2_mean,heldout_affine_l2_upper95_max,normalized_affine_l2_mean,normalized_affine_l2_upper95_max,bootstrap_failures,frozen_bures_threshold,q_threshold,absolute_q_margin,q_margin_after_epsilon_q,epsilon_q_resolves_threshold_side
subjepa,cube,2,3,0.22273319906622904,0.0052931436336695,0.010586287267339,0.6830988242879678,0.6843907081550585,3.107361238589924,3.1184116992757507,0,0.508947854338762,0.254473927169381,0.031740728103151955,0.026447584469482456,True
subjepa,cube,3,3,0.17566591563009318,0.0035078085565264,0.0070156171130529,0.6676400819312415,0.6691723811698815,2.2036112896932063,2.2167719384759046,0,0.508947854338762,0.254473927169381,0.07880801153928782,0.07530020298276142,True
subjepa,cube,4,3,0.10840990925674239,0.004164629759013,0.0083292595180261,0.6621226307455624,0.6638634559510627,1.9646367109891207,1.97778058355986,0,0.508947854338762,0.254473927169381,0.14606401791263862,0.14189938815362563,True
subjepa,pusht,2,3,0.23228260702156886,0.0020600395252377,0.0041200790504754,1.3691581128882533,1.3721434456576815,5.5154966400172,5.533490948576029,0,0.508947854338762,0.254473927169381,0.022191320147812138,0.020131280622574438,True
subjepa,pusht,3,3,0.24478918210301429,0.0025759401137903,0.0051518802275806,1.3647039028613743,1.36804849684351,4.445169594703024,4.472062528722399,0,0.508947854338762,0.254473927169381,0.009684745066366712,0.007108804952576412,True
subjepa,pusht,4,3,0.23936151872664402,0.00309907971678,0.0061981594335601,1.3600260286243468,1.363384699037207,3.845587875892216,3.891474310255312,0,0.508947854338762,0.254473927169381,0.01511240844273698,0.012013328725956979,True
subjepa,reacher,2,3,0.12635867456598446,0.0061991682455678,0.0123983364911356,3.3046780575326267,3.307781711615695,15.040239365545425,15.105992184644814,0,0.508947854338762,0.254473927169381,0.12811525260339654,0.12191608435782875,True
subjepa,reacher,3,3,0.1984385490902603,0.0091779043687243,0.0183558087374487,3.3010840526674463,3.304242286934298,10.734489895839587,10.788329269729484,0,0.508947854338762,0.254473927169381,0.05603537807912071,0.046857473710396405,True
subjepa,reacher,4,3,0.2365918564617858,0.0093748595786921,0.0187497191573842,3.3004138317568157,3.30357222483284,9.712771677240758,9.731191341910476,0,0.508947854338762,0.254473927169381,0.017882070707595205,0.008507211128903104,True
subjepa,tworoom,2,3,0.2529050258992608,0.004556135455752,0.0091122709115041,4.152386231168073,4.1600466350253935,4.418007897392788,4.4288391445125725,0,0.508947854338762,0.254473927169381,0.0015689012701202154,-0.0029872341856317843,False
subjepa,tworoom,3,3,0.2810189161137892,0.0068897985216056,0.0137795970432112,4.044755594629998,4.053445460925905,2.661491344833104,2.6721401244987018,0,0.508947854338762,0.254473927169381,0.02654498894440821,0.01965519042280261,True
subjepa,tworoom,4,3,0.2696669591532056,0.0032496848311181,0.0064993696622362,3.9789942020348463,3.986997240253439,2.1489030021541167,2.159512109021156,0,0.508947854338762,0.254473927169381,0.0151930319838246,0.0119433471527065,True
