"metric","step","predictor","mse","predictor_label"
"gt_rollout",7,"P_train_left_room",0.779234679984402,"left_room"
"gt_rollout",8,"P_train_left_room",0.857171741755289,"left_room"
"gt_rollout",9,"P_train_left_room",0.938184916716392,"left_room"
"gt_rollout",10,"P_train_left_room",1.01376526085088,"left_room"
"gt_rollout",1,"P_train_near_wall",0.0241383593320821,"near_wall"
"gt_rollout",2,"P_train_near_wall",0.0762461375173429,"near_wall"
"gt_rollout",3,"P_train_near_wall",0.159840435230914,"near_wall"
"gt_rollout",4,"P_train_near_wall",0.271005056400262,"near_wall"
"gt_rollout",5,"P_train_near_wall",0.398720450721289,"near_wall"
"gt_rollout",6,"P_train_near_wall",0.529807348988585,"near_wall"
"gt_rollout",7,"P_train_near_wall",0.651949007453627,"near_wall"
"gt_rollout",8,"P_train_near_wall",0.761944887294216,"near_wall"
"gt_rollout",9,"P_train_near_wall",0.850905241049879,"near_wall"
"gt_rollout",10,"P_train_near_wall",0.922987277526139,"near_wall"
"gt_rollout",1,"P_train_right_room",0.153164284228847,"right_room"
"gt_rollout",2,"P_train_right_room",0.339839635238631,"right_room"
"gt_rollout",3,"P_train_right_room",0.463643562449063,"right_room"
"gt_rollout",4,"P_train_right_room",0.547692983378713,"right_room"
"gt_rollout",5,"P_train_right_room",0.623425775825577,"right_room"
"gt_rollout",6,"P_train_right_room",0.699747456747294,"right_room"
"gt_rollout",7,"P_train_right_room",0.776873086839184,"right_room"
"gt_rollout",8,"P_train_right_room",0.854136845884073,"right_room"
"gt_rollout",9,"P_train_right_room",0.933391905451787,"right_room"
"gt_rollout",10,"P_train_right_room",1.00865378184147,"right_room"
"gt_rollout",1,"P_train_global",0.0836262686605585,"global"
"gt_rollout",2,"P_train_global",0.160565123424724,"global"
"gt_rollout",3,"P_train_global",0.272066295370343,"global"
"gt_rollout",4,"P_train_global",0.414341166295909,"global"
"gt_rollout",5,"P_train_global",0.572003474105277,"global"
"gt_rollout",6,"P_train_global",0.729367209865071,"global"
"gt_rollout",7,"P_train_global",0.871061091356271,"global"
"gt_rollout",8,"P_train_global",0.989646713441309,"global"
"gt_rollout",9,"P_train_global",1.07976444838714,"global"
"gt_rollout",10,"P_train_global",1.14647280850417,"global"
