method,mean_percent,sd_across_finetuning_seeds_percent,num_finetuning_seeds,num_partition_seeds,num_eval_seeds,eval_seed_sd_percent
Official baseline,64.8,,0,0,5,4.604345773288538
Joint-Continue 3ep,64.53333333333335,1.4047538337136969,3,0,5,6.566872126348244
Global-FT50,64.53333333333333,2.2030282189144392,3,0,5,5.730453318725774
Random-Voronoi,66.26666666666667,0.461880215351699,3,3,5,6.260990336999412
K-means++,65.02222222222223,0.20367003088692862,3,3,5,7.356162811760715
Spectral,64.71111111111111,1.790509962531885,3,3,5,6.017482946390544
